proposal_rank,name,expression,reason,samples,coverage,ic_mean,ic_std,sharpe,annual_return,max_drawdown,score
54,LOCAL_MUT_054,"Mean($close, 8)/$close",local_fallback_mutation,59886,1.0,0.04278031119971057,0.3509111399064144,0.5635155868016178,1.8824819663771653,-0.6127668860869071,5.697152930766886
39,LOCAL_MUT_039,"Mean($close, 40)/$close",local_fallback_mutation,59886,1.0,0.020534650955856083,0.3392208870336971,0.5188071072302961,1.3382234708715517,-0.4965478338617869,2.982965221933026
36,LOCAL_MUT_036,"Slope($vwap, 60)/$close",local_fallback_mutation,59846,0.9993320642554187,0.006179437405753098,0.32909687940072396,0.35484180418397576,0.09572185527504162,-0.8730905775312738,1.0963742928743476
52,LOCAL_MUT_052,"Rsquare($close, 13)",local_fallback_mutation,59780,0.9982299702768593,0.00591477437105178,0.1795374730260054,0.36207346952685493,0.06969887966884336,-0.6235303244798125,1.0718463940530685
6,LOCAL_MUT_006,"Slope($vwap, 40)/$close",local_fallback_mutation,59846,0.9993320642554187,0.00024171449096515232,0.3222381146826057,0.35616647922894334,0.08813546357516033,-0.8437767301268947,0.3851722181447616
58,LOCAL_MUT_058,"(Std($close, 5)-Std($close, 8))/$close",local_fallback_mutation,59846,0.9993320642554187,-0.000828976001090637,0.30485435397234223,0.3539749738054826,0.12741342910475417,-0.7883200864282863,0.25449785367460614
63,LOCAL_MUT_063,"($open-Ref($close, 20))/Ref($close, 20)",local_fallback_mutation,59086,0.9866412851083726,0.004814119207314788,0.3400472983160536,-0.3993188900338877,,-10.783393949813242,0.17837541484388691
7,LOCAL_MUT_007,"Rsquare($close, 2)",local_fallback_mutation,58032,0.9690411782386534,,,,0.0,0.0,0.0
57,LOCAL_MUT_057,"(Mean($close, 40)-Mean($close, 30))/$close",local_fallback_mutation,59886,1.0,0.0008805784899024703,0.31116662995536176,-0.34895087146673576,,-17.673535962529918,-0.2432814526784393
14,LOCAL_MUT_014,"(Mean($volume, 8)-Mean($volume, 40))/(Mean($volume, 40)+1e-12)",local_fallback_mutation,59886,1.0,-0.0064019302846053,0.3054047007569418,0.3775076517775796,0.21573722036953136,-0.8330371632246332,-0.39072398237505646
3,LOCAL_MUT_003,"($open-Ref($close, 3))/Ref($close, 3)",local_fallback_mutation,59766,0.9979961927662558,1.2702120808459405e-05,0.33481289502091954,-0.41593409020351557,,-11.948086516961,-0.4144098357065004
48,LOCAL_MUT_048,"($open-Ref($close, 60))/Ref($close, 60)",local_fallback_mutation,57486,0.9599238553251177,0.00018906158647395086,0.3239056776169916,-0.4478913232286148,,-11.208729230443767,-0.4252039328517407
59,LOCAL_MUT_059,"(Mean($volume, 3)-Mean($volume, 60))/(Mean($volume, 60)+1e-12)",local_fallback_mutation,59886,1.0,-0.007259934256715096,0.3177836977214931,0.4036542124367264,0.3709789387258178,-0.741999261290905,-0.4675378983690852
44,LOCAL_MUT_044,"(Mean($volume, 40)-Mean($volume, 30))/(Mean($volume, 30)+1e-12)",local_fallback_mutation,59886,1.0,-0.001535664849989673,0.2714981505147119,-0.3967836914248116,,-17.709605397573938,-0.5810634734235725
56,LOCAL_MUT_056,"(Quantile($close, 10, 0.8)-Quantile($close, 10, 0.2))/($close+1e-12)",local_fallback_mutation,59886,1.0,-0.009761929556655767,0.3483572211352962,0.49401617193676667,1.0767757836749041,-0.46222101150803185,-0.6774153748619254
28,LOCAL_MUT_028,"(Std($close, 10)-Std($close, 13))/$close",local_fallback_mutation,59846,0.9993320642554187,-0.008857918378913095,0.2952936765061298,0.3713213281878798,0.20910562583288406,-0.855274858777952,-0.6916288772816916
42,LOCAL_MUT_042,"(Mean($close, 30)-Mean($close, 20))/$close",local_fallback_mutation,59886,1.0,-0.0038463077634970744,0.30630399575503847,-0.33954735803055186,,-27.175343765143072,-0.8011042896502008
26,LOCAL_MUT_026,"(Quantile($close, 20, 0.8)-Quantile($close, 20, 0.2))/($close+1e-12)",local_fallback_mutation,59886,1.0,-0.010758425542262902,0.33387946034152294,0.47693515975387335,0.9307665694867617,-0.6975191740120789,-0.8140759053176749
29,LOCAL_MUT_029,"(Mean($volume, 5)-Mean($volume, 8))/(Mean($volume, 8)+1e-12)",local_fallback_mutation,59886,1.0,-0.003970610757805081,0.27297644510651037,-0.3574436706748101,,-19.942193528241614,-0.8339169616114198
12,LOCAL_MUT_012,"(Mean($close, 10)-Mean($close, 20))/$close",local_fallback_mutation,59886,1.0,-0.003334668161260958,0.31918946952989574,-0.4682139816770778,,-5.668350051952736,-0.8683741610283928
72,LOCAL_MUT_072,"(Mean($close, 60)-Mean($close, 30))/$close",local_fallback_mutation,59886,1.0,-0.004707033839667767,0.31840435488722596,-0.3494286940892352,,-21.90967374799974,-0.9142727548493672
11,LOCAL_MUT_011,"(Quantile($close, 8, 0.8)-Quantile($close, 8, 0.2))/($close+1e-12)",local_fallback_mutation,59886,1.0,-0.011718549296948674,0.3531778155539658,0.4735336564881787,0.8909559138354934,-0.6358273170831981,-0.9326922591456621
18,LOCAL_MUT_018,"($open-Ref($close, 10))/Ref($close, 10)",local_fallback_mutation,59486,0.9933206425541863,-0.0045937564221135005,0.33569485280268335,-0.3853649149710662,,-13.601195263448057,-0.9366156856246862
55,LOCAL_MUT_055,"Std($close, 13)/$close",local_fallback_mutation,59846,0.9993320642554187,-0.012633272490927145,0.36279166679353764,0.5003802888552654,1.1216340516721122,-0.6172200755238499,-1.0156124100559922
15,LOCAL_MUT_015,"(Greater($open,$close)-Less($open,$close))/($close+1e-12)",local_fallback_mutation,59886,1.0,-0.006304890598795952,0.3691369581521993,-0.35868412443396125,,-16.910547480186928,-1.1152709962894756
66,LOCAL_MUT_066,"Slope($vwap, 13)/$close",local_fallback_mutation,59846,0.9993320642554187,-0.006215230093658473,0.334693953264177,-0.45721310875391374,,-8.040009778729324,-1.2030407199929305
33,LOCAL_MUT_033,"($open-Ref($close, 40))/Ref($close, 40)",local_fallback_mutation,58286,0.9732825702167451,-0.007918173256354858,0.33074186273533895,-0.4500511395691678,,-6.680233468175888,-1.4002319303317508
13,LOCAL_MUT_013,"(Std($close, 60)-Std($close, 30))/$close",local_fallback_mutation,59846,0.9993320642554187,-0.009080590712166582,0.30834861263483776,-0.38316835631148954,,-22.776800140428413,-1.4728392417714795
70,LOCAL_MUT_070,"Std($close, 3)/$close",local_fallback_mutation,59846,0.9993320642554187,-0.01800729468525339,0.37315028383238324,0.45319021194095865,0.718007618943042,-0.7145819831691507,-1.7076851502894477
71,LOCAL_MUT_071,"(Quantile($close, 3, 0.8)-Quantile($close, 3, 0.2))/($close+1e-12)",local_fallback_mutation,59886,1.0,-0.01840674530915547,0.3715004069147085,0.45445867925169003,0.7268387343254135,-0.7013185749695394,-1.7543507578469664
43,LOCAL_MUT_043,"(Std($close, 40)-Std($close, 2))/$close",local_fallback_mutation,59846,0.9993320642554187,-0.012069604389427089,0.33515766407138387,-0.35595747029401326,,-24.342142028096497,-1.804309997025264
20,LOCAL_MUT_020,"Slope($close, 13)/$close",local_fallback_mutation,59846,0.9993320642554187,-0.011951071897695198,0.33446605856328204,-0.47442071694476323,,-7.2021010795526355,-1.908549344668187
62,LOCAL_MUT_062,"($close-Ref($close, 20))/Ref($close, 20)",local_fallback_mutation,59086,0.9866412851083726,-0.013670041697137288,0.3434883238669282,-0.49763018172843004,,-7.577565522876646,-2.1380351853849047
27,LOCAL_MUT_027,"(Mean($close, 2)-Mean($close, 10))/$close",local_fallback_mutation,59886,1.0,-0.016427171008367533,0.3433695368707188,-0.45467707449649214,,-7.56040693521523,-2.425937595500596
2,LOCAL_MUT_002,"($close-Ref($close, 30))/Ref($close, 30)",local_fallback_mutation,58686,0.9799619276625589,-0.01811125688642456,0.33662383713018845,-0.46582075279810264,,-8.55656493910336,-2.6391715791690498
49,LOCAL_MUT_049,"($high-$low)/(Ref($close, 60)+1e-12)",local_fallback_mutation,57486,0.9599238553251177,-0.021185867796479445,0.3856021214336195,-0.35703141352620854,,-19.19275644911028,-2.899335549103742
32,LOCAL_MUT_032,"($close-Ref($close, 40))/Ref($close, 40)",local_fallback_mutation,58286,0.9732825702167451,-0.02062051299678948,0.33183439169809364,-0.5127585592854956,,-6.216619254814996,-2.9872201189002334
19,LOCAL_MUT_019,"($high-$low)/(Ref($close, 3)+1e-12)",local_fallback_mutation,59766,0.9979961927662558,-0.022922841032371227,0.3946233298153923,-0.347332289694247,,-21.48329639985872,-3.098073213578794
34,LOCAL_MUT_034,"($high-$low)/(Ref($close, 30)+1e-12)",local_fallback_mutation,58686,0.9799619276625589,-0.022909338559403705,0.39444704735472935,-0.36177175020297797,,-18.54808180798443,-3.1108923773314228
64,LOCAL_MUT_064,"($high-$low)/(Ref($close, 20)+1e-12)",local_fallback_mutation,59086,0.9866412851083726,-0.023398876008167025,0.39614931091214733,-0.36542218129112813,,-15.615193798225436,-3.173287302271171
4,LOCAL_MUT_004,"($high-$low)/(Ref($close, 13)+1e-12)",local_fallback_mutation,59366,0.9913168353204421,-0.024460857595930745,0.3929426229206321,-0.37496363202505484,,-15.229884653952881,-3.310266543536744
17,LOCAL_MUT_017,"($close-Ref($close, 5))/Ref($close, 5)",local_fallback_mutation,59686,0.9966603212770931,-0.0333057577375098,0.3481747803763974,-0.5203226454500613,,-6.02224637205923,-4.517013573951237
21,LOCAL_MUT_021,"Slope($vwap, 2)/$close",local_fallback_mutation,59846,0.9993320642554187,-0.03830313094562956,0.35211318272354447,-0.5194948649680938,,-10.227390260331779,-5.115870578443641
53,LOCAL_MUT_053,"Resi($close, 13)/$close",local_fallback_mutation,59846,0.9993320642554187,-0.04438696767435415,0.3505624066784226,-0.5643325306184334,,-9.084718823584085,-5.890768651540931
23,LOCAL_MUT_023,"Resi($close, 8)/$close",local_fallback_mutation,59846,0.9993320642554187,-0.05069232154504454,0.3495750825600541,-0.5602527300864981,,-9.9865036298944,-6.643331315491843
5,LOCAL_MUT_005,"Slope($close, 2)/$close",local_fallback_mutation,59846,0.9993320642554187,-0.06950704465863963,0.3550205833080046,-0.6063098104497854,,-8.523219094406556,-8.94715516948654
